所有權人;管理者;行政區;段小段;地號;面積;分母;分子;持分面積;使用分區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300000;9;1;1;9;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300003;10;1;1;10;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300010;16;1;1;16;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300011;21;1;1;21;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300012;17;1;1;17;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300013;8.5;1;1;8.5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300017;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300018;8;1;1;8;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300019;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300020;39;1;1;39;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00300022;0.5;1;1;0.5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310000;16;1;1;16;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310001;15;1;1;15;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310002;56;1;1;56;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310003;9;1;1;9;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310004;42;1;1;42;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310005;35;1;1;35;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310006;20;1;1;20;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310007;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310008;8;1;1;8;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310009;15;1;1;15;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310010;17;1;1;17;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310011;16;1;1;16;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310012;32;1;1;32;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310013;27;1;1;27;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310014;15;1;1;15;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310015;10;1;1;10;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310020;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00310021;22;1;1;22;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00810001;20;1;1;20;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;00840000;11;1;1;11;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01010000;59;1;1;59;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01160000;39;1;1;39;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170000;98;1;1;98;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170003;64;1;1;64;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170004;68;1;1;68;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170005;38;1;1;38;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170007;42;1;1;42;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170008;9;1;1;9;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170010;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170011;39;1;1;39;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170012;29;1;1;29;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170015;146;1;1;146;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170017;23;1;1;23;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170018;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170019;27;1;1;27;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01170020;50;1;1;50;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01230000;3;1;1;3;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01230002;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01270000;15;1;1;15;第三之一種住宅區
中華民國;臺北市政府工務局新建工程處;中正區;永昌段一小段;01300000;1;1;1;1;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01420000;10;1;1;10;第三之一種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01420001;5;1;1;5;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560000;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560002;18;1;1;18;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560003;30;1;1;30;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560004;31;1;1;31;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560005;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560010;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;01560011;1;1;1;1;第三種住宅區
